Date,City,State,SizeRank,ForSale_Inv,New_Listings,Avg_List_Price,%Change_LP,Avg_Sale_Price,%Change_SP,HVI,%Change_HVI,Avg_Rent,%Change_Rent
2018-03-31,New York,NY,1,72780.0,20163.0,534333.0,2.17,399667.0,-0.08,463521.0,0.64,2621.0,0.38
2018-03-31,Los Angeles-Long Beach-Anaheim,CA,2,21779.0,9337.0,821000.0,2.07,622667.0,1.08,650554.0,0.78,2320.0,0.35
2018-03-31,Chicago,IL,3,44531.0,12642.0,319467.0,4.41,225667.0,1.88,236447.0,0.34,1649.0,0.79
2018-03-31,Dallas-Fort Worth,TX,4,24332.0,9051.0,351633.0,1.92,255667.0,0.79,241512.0,0.82,1340.0,0.22
2018-03-31,Philadelphia,PA,5,26041.0,7043.0,253667.0,1.62,224000.0,-0.74,236999.0,0.63,1489.0,0.74
2018-03-31,Houston,TX,6,34398.0,7910.0,320941.0,1.03,224190.0,0.44,208741.0,0.24,1329.0,0.38
2018-03-31,Washington,DC,7,22620.0,7262.0,441917.0,2.39,387000.0,-0.19,414804.0,0.38,1924.0,0.31
2018-03-31,Miami-Fort Lauderdale,FL,8,64241.0,12476.0,394873.0,0.34,269998.0,0.62,283235.0,0.64,1848.0,0.16
2018-03-31,Atlanta,GA,9,29691.0,8724.0,323663.0,2.75,228207.0,0.53,220071.0,0.66,1323.0,0.84
2018-03-31,Boston,MA,10,9984.0,3991.0,564333.0,3.42,424667.0,0.95,474960.0,0.75,2419.0,0.71
2018-03-31,San Francisco,CA,11,5217.0,3176.0,857667.0,4.09,765000.0,3.38,1085492.0,1.21,2949.0,0.51
2018-03-31,Detroit,MI,12,14222.0,4754.0,224628.0,2.92,168333.0,-0.9,165357.0,1.09,1107.0,0.64
2018-03-31,Riverside,CA,13,18575.0,6229.0,396833.0,0.85,360167.0,0.7,359124.0,0.88,1749.0,0.63
2018-03-31,Phoenix,AZ,14,27505.0,9335.0,346317.0,2.37,262667.0,0.77,254268.0,0.93,1202.0,1.26
2018-03-31,Seattle,WA,15,7352.0,4052.0,558817.0,5.77,457823.0,1.11,502948.0,1.56,1801.0,0.84
2018-03-31,Minneapolis-St Paul,MN,16,10324.0,4079.0,387318.0,4.19,249167.0,0.69,274259.0,0.82,1397.0,0.72
2018-03-31,San Diego,CA,17,7089.0,3225.0,735997.0,1.85,555000.0,0.67,582301.0,0.73,2193.0,0.46
2018-03-31,St. Louis,MO,18,12777.0,3796.0,196567.0,2.77,170000.0,0.0,172383.0,0.44,1003.0,0.2
2018-03-31,Tampa,FL,19,21325.0,6332.0,262242.0,0.63,209583.0,0.28,206163.0,0.99,1339.0,0.68
2018-03-31,Baltimore,MD,20,12783.0,3520.0,304933.0,1.68,271333.0,-0.73,290980.0,0.41,1474.0,0.68
2018-03-31,Denver,CO,21,11043.0,4250.0,558294.0,0.6,407060.0,1.33,416756.0,0.56,1560.0,0.58
2018-03-31,Pittsburgh,PA,22,10327.0,2225.0,173233.0,1.96,157467.0,2.16,150565.0,0.81,1109.0,0.64
2018-03-31,Portland,OR,23,7297.0,2989.0,482735.0,1.38,377772.0,0.89,405273.0,0.78,1489.0,0.54
2018-03-31,Charlotte,NC,24,10893.0,3504.0,332659.0,1.39,236500.0,-0.91,217578.0,0.63,1274.0,0.47
2018-03-31,Sacramento,CA,25,5818.0,2711.0,477667.0,1.92,390667.0,0.67,405461.0,0.7,1664.0,0.6
2018-03-31,San Antonio,TX,26,12226.0,2740.0,283000.0,1.07,214300.0,-0.79,218250.0,0.52,1142.0,0.79
2018-03-31,Orlando,FL,27,12804.0,4169.0,309300.0,2.1,243775.0,0.0,231486.0,0.5,1410.0,0.71
