Date,City,State,SizeRank,HVI,%Change_HVI
2014-02-28,New York,NY,1,398201.0,0.43
2014-02-28,Los Angeles-Long Beach-Anaheim,CA,2,516105.0,0.48
2014-02-28,Chicago,IL,3,198819.0,0.77
2014-02-28,Dallas-Fort Worth,TX,4,166352.0,0.65
2014-02-28,Philadelphia,PA,5,214635.0,0.27
2014-02-28,Houston,TX,6,167499.0,0.89
2014-02-28,Washington,DC,7,381747.0,0.51
2014-02-28,Miami-Fort Lauderdale,FL,8,212668.0,1.08
2014-02-28,Atlanta,GA,9,164522.0,0.91
2014-02-28,Boston,MA,10,382265.0,0.37
2014-02-28,San Francisco,CA,11,767967.0,1.4
2014-02-28,Detroit,MI,12,121922.0,1.33
2014-02-28,Riverside,CA,13,279959.0,1.58
2014-02-28,Phoenix,AZ,14,200966.0,1.59
2014-02-28,Seattle,WA,15,328072.0,0.94
2014-02-28,Minneapolis-St Paul,MN,16,220371.0,1.0
2014-02-28,San Diego,CA,17,465497.0,1.66
2014-02-28,St. Louis,MO,18,146222.0,-0.01
2014-02-28,Tampa,FL,19,146644.0,0.63
2014-02-28,Baltimore,MD,20,272554.0,0.2
2014-02-28,Denver,CO,21,282160.0,0.82
2014-02-28,Pittsburgh,PA,22,129732.0,0.4
2014-02-28,Portland,OR,23,284003.0,0.65
2014-02-28,Charlotte,NC,24,167576.0,0.85
2014-02-28,Sacramento,CA,25,313739.0,0.84
2014-02-28,San Antonio,TX,26,172547.0,0.67
2014-02-28,Orlando,FL,27,173855.0,1.08
2014-02-28,Cincinnati,OH,28,142032.0,0.07
2014-02-28,Cleveland,OH,29,123330.0,-0.74
2014-02-28,Kansas City,MO,30,148331.0,0.09
2014-02-28,Las Vegas,NV,31,191183.0,1.05
2014-02-28,Columbus,OH,32,150933.0,0.45
2014-02-28,Indianapolis,IN,33,138085.0,0.86
2014-02-28,San Jose,CA,34,832719.0,2.33
2014-02-28,Austin,TX,35,238554.0,0.7
2014-02-28,Virginia Beach,VA,36,220849.0,0.24
2014-02-28,Nashville,TN,37,186607.0,0.43
2014-02-28,Providence,RI,38,251429.0,0.25
2014-02-28,Milwaukee,WI,39,156393.0,0.47
2014-02-28,Jacksonville,FL,40,167842.0,0.79
2014-02-28,Memphis,TN,41,119787.0,0.21
2014-02-28,Oklahoma City,OK,42,134969.0,0.35
2014-02-28,Louisville-Jefferson County,KY,43,139725.0,0.29
2014-02-28,Hartford,CT,44,229999.0,0.07
2014-02-28,Richmond,VA,45,201866.0,0.3
2014-02-28,New Orleans,LA,46,179429.0,0.45
2014-02-28,Buffalo,NY,47,134742.0,0.39
2014-02-28,Raleigh,NC,48,214758.0,0.33
2014-02-28,Birmingham,AL,49,141544.0,0.12
2014-02-28,Salt Lake City,UT,50,257307.0,0.09
2014-02-28,Grand Rapids,MI,52,143620.0,0.68
2014-02-28,Tucson,AZ,53,169068.0,1.07
2014-02-28,Urban Honolulu,HI,54,593244.0,0.72
2014-02-28,Tulsa,OK,55,126407.0,0.21
2014-02-28,Fresno,CA,56,197939.0,1.09
2014-02-28,Worcester,MA,57,236451.0,0.34
2014-02-28,Stamford,CT,58,406948.0,0.78
2014-02-28,Albuquerque,NM,59,179408.0,0.4
2014-02-28,Albany,NY,60,182934.0,-0.24
2014-02-28,Omaha,NE,61,152117.0,0.34
2014-02-28,New Haven,CT,62,219351.0,-0.0
2014-02-28,Bakersfield,CA,63,184147.0,0.86
2014-02-28,Knoxville,TN,64,149871.0,0.15
2014-02-28,Greenville,SC,65,153376.0,0.33
2014-02-28,Ventura,CA,66,507176.0,1.26
2014-02-28,Allentown,PA,67,184426.0,0.3
2014-02-28,El Paso,TX,68,124560.0,-0.02
2014-02-28,Baton Rouge,LA,69,171370.0,0.36
2014-02-28,Dayton,OH,70,103019.0,1.77
2014-02-28,McAllen,TX,71,93063.0,0.52
2014-02-28,Columbia,SC,72,136694.0,0.11
2014-02-28,Greensboro,NC,73,124605.0,-0.11
2014-02-28,Akron,OH,74,123266.0,-0.22
2014-02-28,North Port-Sarasota-Bradenton,FL,75,211065.0,0.95
2014-02-28,Little Rock,AR,76,137379.0,0.16
2014-02-28,Stockton,CA,77,251461.0,2.75
2014-02-28,Charleston,SC,78,210237.0,0.51
