Date,City,State,SizeRank,Avg_Rent,%Change_Rent
2018-03-31,New York,NY,1,2621,0.38
2018-03-31,Los Angeles-Long Beach-Anaheim,CA,2,2320,0.35
2018-03-31,Chicago,IL,3,1649,0.79
2018-03-31,Dallas-Fort Worth,TX,4,1340,0.22
2018-03-31,Philadelphia,PA,5,1489,0.74
2018-03-31,Houston,TX,6,1329,0.38
2018-03-31,Washington,DC,7,1924,0.31
2018-03-31,Miami-Fort Lauderdale,FL,8,1848,0.16
2018-03-31,Atlanta,GA,9,1323,0.84
2018-03-31,Boston,MA,10,2419,0.71
2018-03-31,San Francisco,CA,11,2949,0.51
2018-03-31,Detroit,MI,12,1107,0.64
2018-03-31,Riverside,CA,13,1749,0.63
2018-03-31,Phoenix,AZ,14,1202,1.26
2018-03-31,Seattle,WA,15,1801,0.84
2018-03-31,Minneapolis-St Paul,MN,16,1397,0.72
2018-03-31,San Diego,CA,17,2193,0.46
2018-03-31,St. Louis,MO,18,1003,0.2
2018-03-31,Tampa,FL,19,1339,0.68
2018-03-31,Baltimore,MD,20,1474,0.68
2018-03-31,Denver,CO,21,1560,0.58
2018-03-31,Pittsburgh,PA,22,1109,0.64
2018-03-31,Portland,OR,23,1489,0.54
2018-03-31,Charlotte,NC,24,1274,0.47
2018-03-31,Sacramento,CA,25,1664,0.6
2018-03-31,San Antonio,TX,26,1142,0.79
2018-03-31,Orlando,FL,27,1410,0.71
2018-03-31,Cleveland,OH,29,1078,0.56
2018-03-31,Kansas City,MO,30,1035,0.68
2018-03-31,Las Vegas,NV,31,1228,0.74
2018-03-31,Columbus,OH,32,1103,1.01
2018-03-31,Indianapolis,IN,33,1084,0.65
2018-03-31,Austin,TX,35,1357,0.59
2018-03-31,Virginia Beach,VA,36,1245,0.81
2018-03-31,Nashville,TN,37,1354,0.97
2018-03-31,Providence,RI,38,1366,0.96
2018-03-31,Jacksonville,FL,40,1218,0.66
2018-03-31,Memphis,TN,41,1052,0.38
2018-03-31,Oklahoma City,OK,42,1051,0.77
2018-03-31,Louisville-Jefferson County,KY,43,1024,0.49
2018-03-31,Hartford,CT,44,1311,0.23
2018-03-31,New Orleans,LA,46,1211,1.85
2018-03-31,Buffalo,NY,47,970,0.52
2018-03-31,Raleigh,NC,48,1287,0.55
2018-03-31,Birmingham,AL,49,1035,0.78
2018-03-31,Salt Lake City,UT,50,1213,0.75
2018-03-31,Grand Rapids,MI,52,1083,1.31
2018-03-31,Tucson,AZ,53,1063,0.09
2018-03-31,Urban Honolulu,HI,54,2277,0.26
2018-03-31,Tulsa,OK,55,991,-0.4
2018-03-31,Fresno,CA,56,1388,0.43
2018-03-31,Worcester,MA,57,1356,1.04
2018-03-31,Stamford,CT,58,2079,0.97
2018-03-31,Albuquerque,NM,59,1054,0.76
2018-03-31,Albany,NY,60,1176,0.86
2018-03-31,Omaha,NE,61,968,-0.21
2018-03-31,New Haven,CT,62,1503,0.33
2018-03-31,Bakersfield,CA,63,1188,0.34
2018-03-31,Knoxville,TN,64,1103,0.73
2018-03-31,Greenville,SC,65,1148,0.61
2018-03-31,Ventura,CA,66,2324,0.35
2018-03-31,Allentown,PA,67,1309,0.38
2018-03-31,El Paso,TX,68,1031,0.49
2018-03-31,Baton Rouge,LA,69,1187,0.08
2018-03-31,Dayton,OH,70,968,1.26
2018-03-31,Greensboro,NC,73,984,0.31
2018-03-31,Akron,OH,74,906,1.46
2018-03-31,North Port-Sarasota-Bradenton,FL,75,1544,0.19
2018-03-31,Little Rock,AR,76,916,-0.11
2018-03-31,Stockton,CA,77,1727,0.76
2018-03-31,Charleston,SC,78,1357,0.37
2018-03-31,Syracuse,NY,79,1063,-1.57
2018-03-31,Colorado Springs,CO,80,1343,0.45
2018-03-31,Winston-Salem,NC,81,1127,0.99
2018-03-31,Springfield,MA,83,1263,0.96
2018-03-31,Fort Myers,FL,84,1359,-0.44
2018-03-31,Boise City,ID,85,1153,0.87
2018-03-31,Toledo,OH,86,973,0.21
2018-03-31,Madison,WI,87,1154,0.7
2018-03-31,Lakeland,FL,88,1204,1.78
2018-03-31,Ogden,UT,89,1179,1.2
2018-03-31,Daytona Beach,FL,90,1256,0.88
2018-03-31,Des Moines,IA,91,1033,0.98
2018-03-31,Jackson,MS,92,1180,0.68
2018-03-31,Youngstown,OH,93,737,0.82
2018-03-31,Augusta,GA,94,992,1.64
2018-03-31,Scranton,PA,95,927,1.64
2018-03-31,Harrisburg,PA,96,1041,0.97
2018-03-31,Melbourne,FL,97,1285,0.63
2018-03-31,Chattanooga,TN,98,1062,1.24
2018-03-31,Spokane,WA,99,1087,1.59
2018-03-31,Provo,UT,100,1244,-0.16
2018-03-31,Durham,NC,104,1254,1.13
2018-03-31,Port St. Lucie,FL,119,1461,0.21
2018-03-31,Killeen,TX,128,939,0.54
2018-03-31,Fort Collins,CO,159,1481,1.86
2018-03-31,Boulder,CO,162,1757,0.46
2018-03-31,College Station,TX,192,1160,-0.34
2018-03-31,Gainesville,GA,229,1129,0.53
2018-03-31,Sierra Vista,AZ,309,803,0.5
2018-04-30,New York,NY,1,2635,0.53
2018-04-30,Los Angeles-Long Beach-Anaheim,CA,2,2332,0.52
2018-04-30,Chicago,IL,3,1659,0.61
2018-04-30,Dallas-Fort Worth,TX,4,1348,0.6
2018-04-30,Philadelphia,PA,5,1499,0.67
