RegionID,RegionName,SizeRank,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06
102001,United States,0,1283,1294,1295,1302,1315,1325,1334,1339,1341,1341,1341,1341,1346,1353,1361,1373,1382,1391,1396,1401,1402,1403,1404,1404,1409,1416,1425,1434,1442,1450,1452,1455,1455,1454,1453,1452,1456,1463,1471,1481,1490,1496,1502,1504,1504,1503,1502,1503,1507,1513,1522,1531,1540,1550,1555,1559,1559,1559,1560,1561,1565,1572,1581,1590,1601,1611,1616,1618,1618,1616,1615,1617,1622,1631,1636,1630,1626,1629,1631,1628,1625,1624,1627,1630,1634,1642,1659,1685,1716,1749,1786,1820,1843,1861,1878,1895,1901,1925,1942,1965,1991,2007
394913,"New York, NY",1,2306,2335,2342,2348,2382,2400,2418,2426,2429,2427,2431,2423,2433,2447,2463,2493,2505,2518,2525,2534,2542,2543,2536,2534,2536,2543,2547,2564,2578,2591,2579,2589,2595,2589,2587,2579,2576,2580,2591,2607,2624,2632,2640,2637,2645,2634,2615,2616,2610,2611,2621,2635,2650,2664,2678,2684,2683,2675,2666,2664,2662,2671,2688,2699,2724,2743,2752,2753,2745,2739,2726,2712,2720,2740,2746,2730,2712,2694,2663,2605,2549,2509,2488,2478,2479,2484,2507,2545,2593,2644,2708,2757,2799,2826,2852,2884,2917,2970,3019,3072,3135,3186
753899,"Los Angeles-Long Beach-Anaheim, CA",2,1815,1846,1833,1842,1865,1885,1903,1918,1927,1933,1932,1936,1950,1958,1975,1988,1999,2012,2028,2040,2049,2058,2067,2071,2083,2100,2111,2119,2138,2152,2156,2168,2174,2181,2182,2188,2200,2212,2224,2239,2254,2261,2276,2283,2287,2289,2293,2293,2304,2312,2320,2332,2343,2356,2365,2377,2382,2387,2394,2399,2403,2408,2416,2427,2436,2447,2458,2465,2469,2470,2474,2482,2487,2492,2491,2466,2449,2446,2446,2438,2441,2449,2452,2448,2448,2457,2472,2494,2524,2566,2613,2671,2708,2735,2759,2781,2801,2834,2863,2900,2935,2951
394463,"Chicago, IL",3,1464,1477,1478,1483,1499,1514,1522,1525,1519,1515,1513,1512,1515,1520,1510,1533,1547,1562,1570,1576,1571,1562,1553,1553,1561,1571,1581,1594,1606,1616,1621,1622,1613,1600,1592,1588,1588,1603,1616,1630,1643,1649,1652,1649,1641,1632,1625,1626,1629,1636,1649,1659,1671,1681,1684,1681,1674,1663,1660,1657,1664,1673,1686,1700,1712,1723,1728,1727,1723,1715,1704,1703,1711,1721,1731,1729,1728,1727,1723,1711,1693,1672,1659,1652,1651,1656,1676,1709,1739,1766,1785,1804,1809,1813,1818,1832,1846,1860,1883,1907,1931,1947
394514,"Dallas-Fort Worth, TX",4,1105,1130,1136,1152,1147,1150,1155,1157,1161,1158,1155,1158,1162,1167,1180,1189,1199,1206,1211,1217,1213,1212,1211,1212,1217,1222,1236,1247,1257,1265,1272,1274,1274,1274,1276,1276,1279,1284,1294,1300,1311,1320,1323,1327,1326,1328,1325,1326,1329,1337,1340,1348,1352,1361,1366,1370,1366,1370,1374,1371,1374,1384,1388,1397,1407,1416,1420,1420,1421,1420,1417,1415,1419,1426,1431,1425,1423,1428,1431,1432,1434,1439,1442,1445,1450,1459,1472,1498,1528,1566,1607,1644,1667,1681,1700,1710,1719,1735,1744,1771,1802,1825
394974,"Philadelphia, PA",5,1350,1316,1337,1340,1349,1360,1365,1370,1374,1368,1364,1352,1356,1359,1371,1383,1395,1401,1403,1404,1402,1398,1399,1398,1402,1408,1419,1427,1436,1441,1448,1442,1439,1436,1438,1437,1439,1444,1454,1461,1468,1470,1473,1474,1470,1471,1476,1476,1472,1478,1489,1499,1510,1514,1515,1517,1518,1519,1517,1521,1527,1533,1541,1549,1556,1567,1570,1570,1568,1570,1570,1570,1572,1585,1590,1584,1586,1589,1590,1593,1593,1592,1594,1599,1597,1599,1610,1628,1650,1672,1693,1724,1736,1751,1766,1788,1784,1794,1808,1821,1838,1852
394692,"Houston, TX",6,1160,1189,1177,1186,1210,1223,1237,1245,1245,1249,1246,1243,1248,1251,1257,1268,1275,1282,1287,1288,1285,1281,1281,1280,1279,1285,1292,1292,1291,1294,1292,1288,1285,1283,1276,1273,1271,1274,1282,1285,1291,1293,1292,1293,1298,1308,1315,1319,1320,1324,1329,1335,1338,1343,1346,1344,1342,1342,1346,1341,1340,1342,1348,1353,1360,1366,1369,1367,1365,1364,1362,1365,1367,1369,1374,1365,1357,1356,1355,1355,1358,1363,1368,1368,1367,1364,1374,1389,1414,1446,1475,1499,1504,1518,1526,1536,1535,1546,1556,1568,1583,1589
395209,"Washington, DC",7,1778,1819,1807,1806,1819,1833,1843,1848,1850,1837,1829,1818,1823,1831,1832,1846,1852,1862,1866,1864,1859,1862,1857,1859,1860,1866,1875,1883,1892,1902,1885,1895,1892,1889,1884,1882,1889,1894,1900,1916,1926,1932,1933,1935,1932,1922,1911,1909,1911,1918,1924,1940,1951,1964,1972,1976,1970,1965,1964,1963,1970,1979,1987,2000,2012,2023,2029,2030,2031,2023,2016,2013,2019,2026,2033,2026,2015,2014,2010,1998,1981,1966,1948,1939,1939,1941,1951,1975,2008,2048,2086,2122,2139,2155,2163,2168,2172,2184,2197,2221,2244,2263
394856,"Miami-Fort Lauderdale, FL",8,1578,1582,1584,1585,1597,1604,1621,1628,1640,1647,1655,1659,1664,1676,1679,1682,1694,1705,1708,1722,1733,1743,1753,1758,1762,1769,1773,1771,1775,1776,1777,1782,1786,1787,1793,1792,1797,1800,1804,1803,1804,1809,1815,1822,1827,1836,1837,1839,1844,1845,1848,1849,1853,1861,1866,1874,1881,1888,1894,1896,1895,1897,1903,1905,1905,1909,1915,1919,1926,1935,1945,1954,1955,1960,1960,1952,1940,1938,1941,1944,1950,1962,1980,1994,2018,2039,2069,2112,2160,2219,2293,2367,2421,2472,2540,2610,2638,2693,2744,2789,2834,2848
394347,"Atlanta, GA",9,1056,1067,1067,1075,1080,1087,1092,1097,1095,1095,1098,1100,1103,1109,1116,1125,1137,1148,1155,1156,1153,1154,1155,1158,1162,1170,1184,1193,1203,1214,1222,1224,1228,1232,1230,1230,1233,1240,1249,1258,1270,1280,1291,1296,1300,1298,1298,1299,1305,1312,1323,1332,1346,1355,1362,1368,1373,1377,1381,1384,1394,1398,1408,1419,1429,1439,1445,1449,1454,1451,1449,1450,1455,1463,1471,1466,1466,1473,1484,1496,1506,1517,1524,1536,1548,1564,1585,1615,1649,1693,1745,1802,1836,1859,1869,1869,1875,1887,1897,1904,1928,1946
