Date,City,State,Avg_List_Price,%Change_LP,Avg_Sale_Price,%Change_SP,HVI,%Change_HVI,Avg_Rent,%Change_Rent
2020-07-31,New York,NY,612596.0,1.71,444667.0,1.45,489984.0,0.25,2663.0,-1.15
2020-07-31,Los Angeles-Long Beach-Anaheim,CA,927667.0,3.61,691333.0,2.17,692496.0,0.25,2446.0,0.0
2020-07-31,Chicago,IL,343800.0,2.07,257167.0,0.33,245927.0,0.42,1723.0,-0.23
2020-07-31,Dallas-Fort Worth,TX,354800.0,1.92,289967.0,1.56,264380.0,0.4,1431.0,0.21
2020-07-31,Philadelphia,PA,323333.0,3.85,274161.0,0.95,259242.0,0.63,1590.0,0.06
2020-07-31,Houston,TX,322456.0,1.86,258955.0,1.86,226080.0,0.2,1355.0,-0.07
2020-07-31,Washington,DC,544300.0,2.38,445000.0,1.6,450269.0,0.59,2010.0,-0.2
2020-07-31,Miami-Fort Lauderdale,FL,397862.0,0.08,319333.0,1.05,310604.0,0.21,1941.0,0.15
2020-07-31,Atlanta,GA,344568.0,2.33,276402.0,0.63,252356.0,0.55,1484.0,0.75
2020-07-31,Boston,MA,639933.0,2.67,510651.0,1.16,508669.0,0.36,2528.0,-0.51
2020-07-31,San Francisco,CA,984364.0,3.5,868167.0,2.06,1127192.0,0.11,3042.0,-1.01
2020-07-31,Detroit,MI,277917.0,6.38,207500.0,2.59,185379.0,-0.18,1207.0,1.17
2020-07-31,Riverside,CA,446333.0,2.68,406695.0,2.07,395459.0,0.58,1945.0,1.25
2020-07-31,Phoenix,AZ,388574.0,2.64,314663.0,1.07,301341.0,0.67,1413.0,0.86
2020-07-31,Seattle,WA,668667.0,1.31,534333.0,1.51,547062.0,0.31,1951.0,-0.15
2020-07-31,Minneapolis-St Paul,MN,394691.0,0.43,303467.0,0.55,303606.0,0.27,1511.0,-0.2
2020-07-31,San Diego,CA,814967.0,4.26,616833.0,2.27,624389.0,0.58,2357.0,0.3
2020-07-31,St. Louis,MO,259763.0,1.95,211417.0,2.44,188810.0,0.64,1087.0,0.56
2020-07-31,Tampa,FL,286231.0,2.19,253250.0,1.4,235878.0,0.57,1479.0,0.61
2020-07-31,Baltimore,MD,363008.0,1.93,311663.0,-0.05,303886.0,0.58,1525.0,0.46
2020-07-31,Denver,CO,546633.0,0.92,450810.0,1.12,456526.0,0.31,1657.0,0.3
2020-07-31,Pittsburgh,PA,227597.0,5.91,195000.0,1.76,166939.0,0.54,1188.0,-0.17
2020-07-31,Portland,OR,492148.0,2.04,425333.0,1.44,433428.0,27.62,1599.0,0.44
2020-07-31,Portland,OR,492148.0,2.04,425333.0,1.44,340016.0,-21.55,1599.0,0.44
2020-07-31,Charlotte,NC,362320.0,2.98,286287.0,1.05,253567.0,0.79,1400.0,0.57
2020-07-31,Sacramento,CA,537667.0,1.84,452500.0,2.11,440927.0,0.32,1868.0,1.03
2020-07-31,San Antonio,TX,297300.0,1.2,248800.0,2.19,239341.0,0.46,1218.0,0.5
2020-07-31,Orlando,FL,324967.0,1.47,278480.0,0.36,265873.0,0.24,1526.0,0.39
2020-07-31,Cincinnati,OH,333163.0,3.63,207000.0,2.26,197373.0,0.72,1210.0,0.67
2020-07-31,Cleveland,OH,218267.0,4.14,169333.0,1.91,165950.0,-8.49,1160.0,0.0
2020-07-31,Cleveland,OH,218267.0,4.14,169333.0,1.91,182551.0,10.0,1160.0,0.0
2020-07-31,Kansas City,MO,364950.0,1.48,249667.0,2.6,215973.0,0.63,1145.0,0.79
2020-07-31,Las Vegas,NV,335333.0,1.51,320096.0,1.39,298014.0,90.76,1386.0,1.24
2020-07-31,Las Vegas,NV,335333.0,1.51,320096.0,1.39,157008.0,-47.32,1386.0,1.24
2020-07-31,Columbus,OH,344933.0,2.49,234767.0,1.63,225231.0,22.84,1217.0,0.58
2020-07-31,Columbus,OH,344933.0,2.49,234767.0,1.63,129861.0,-42.34,1217.0,0.58
2020-07-31,Columbus,OH,344933.0,2.49,234767.0,1.63,183725.0,41.48,1217.0,0.58
2020-07-31,Indianapolis,IN,311165.0,2.87,221333.0,1.53,195751.0,0.87,1211.0,0.58
2020-07-31,San Jose,CA,1238000.0,2.37,1126667.0,0.0,1226214.0,-0.38,3043.0,-1.07
2020-07-31,Austin,TX,374269.0,3.09,343996.0,2.63,348781.0,158.57,1456.0,0.07
2020-07-31,Austin,TX,374269.0,3.09,343996.0,2.63,135996.0,-61.01,1456.0,0.07
2020-07-31,Virginia Beach,VA,313399.0,1.82,275083.0,2.52,255672.0,0.41,1326.0,1.22
2020-07-31,Nashville,TN,374933.0,1.8,314837.0,1.38,299393.0,0.52,1477.0,0.34
2020-07-31,Providence,RI,419462.0,2.57,316333.0,1.61,331605.0,0.5,1523.0,1.67
2020-07-31,Milwaukee,WI,263233.0,1.94,222333.0,0.98,213238.0,0.63,1067.0,0.38
2020-07-31,Jacksonville,FL,317967.0,1.8,267667.0,1.9,240999.0,144.48,1335.0,0.6
2020-07-31,Jacksonville,FL,317967.0,1.8,267667.0,1.9,175751.0,-27.07,1335.0,0.6
2020-07-31,Jacksonville,FL,317967.0,1.8,267667.0,1.9,98242.0,-44.1,1335.0,0.6
2020-07-31,Memphis,TN,260406.0,2.63,215133.0,1.33,167741.0,0.72,1195.0,1.01
2020-07-31,Oklahoma City,OK,299081.0,1.97,203317.0,1.84,166057.0,0.41,1121.0,0.36
2020-07-31,Louisville-Jefferson County,KY,299600.0,1.02,214333.0,4.05,189083.0,0.53,1107.0,0.45
2020-07-31,Hartford,CT,338503.0,3.13,245333.0,1.98,244820.0,0.79,1390.0,0.51
2020-07-31,Richmond,VA,379324.0,1.94,279167.0,1.96,260311.0,148.42,1320.0,0.53
2020-07-31,Richmond,VA,379324.0,1.94,279167.0,1.96,173703.0,-33.27,1320.0,0.53
2020-07-31,Richmond,VA,379324.0,1.94,279167.0,1.96,104841.0,-39.64,1320.0,0.53
2020-07-31,New Orleans,LA,288433.0,2.06,226667.0,1.04,214007.0,0.25,1248.0,0.4
2020-07-31,Buffalo,NY,231778.0,2.89,177000.0,2.61,180874.0,0.46,1059.0,0.47
2020-07-31,Raleigh,NC,378235.0,2.47,304000.0,0.03,292270.0,0.31,1388.0,0.43
2020-07-31,Birmingham,AL,282387.0,1.49,228205.0,-0.25,185931.0,0.25,1129.0,1.16
2020-07-31,Salt Lake City,UT,493385.0,2.4,366667.0,1.51,405253.0,0.92,1312.0,0.38
2020-07-31,Rochester,NY,268739.0,0.64,166583.0,1.57,167240.0,-31.73,1171.0,0.95
2020-07-31,Rochester,NY,268739.0,0.64,166583.0,1.57,246453.0,47.36,1171.0,0.95
2020-07-31,Grand Rapids,MI,321600.0,0.52,230367.0,2.54,229028.0,0.21,1220.0,0.33
2020-07-31,Tucson,AZ,319933.0,3.56,244333.0,1.38,232336.0,0.53,1221.0,0.91
2020-07-31,Urban Honolulu,HI,608000.0,0.27,607750.0,-0.79,721843.0,0.12,2319.0,0.04
2020-07-31,Tulsa,OK,268666.0,3.08,196717.0,3.5,157846.0,0.72,1059.0,1.15
2020-07-31,Fresno,CA,380559.0,2.69,312113.0,2.35,279956.0,0.95,1561.0,0.13
2020-07-31,Worcester,MA,378393.0,1.72,314000.0,3.43,311073.0,0.39,1511.0,0.67
2020-07-31,Stamford,CT,791366.0,2.49,461333.0,4.45,423065.0,0.78,2237.0,0.63
2020-07-31,Albuquerque,NM,335013.0,4.64,235503.0,2.56,226287.0,0.84,1177.0,1.9
2020-07-31,Albany,NY,309221.0,3.7,214282.0,0.78,211818.0,-27.88,1229.0,0.08
2020-07-31,Albany,NY,309221.0,3.7,214282.0,0.78,112523.0,-46.88,1229.0,0.08
2020-07-31,Albany,NY,309221.0,3.7,214282.0,0.78,295480.0,162.6,1229.0,0.08
2020-07-31,Omaha,NE,332045.0,1.29,225052.0,1.98,211481.0,0.38,1072.0,0.66
2020-07-31,New Haven,CT,345061.0,4.22,249248.0,4.33,241023.0,0.51,1605.0,-0.62
2020-07-31,Bakersfield,CA,281300.0,1.69,263500.0,0.44,242166.0,0.91,1364.0,1.79
2020-07-31,Knoxville,TN,331667.0,4.2,232000.0,1.9,206672.0,0.58,1238.0,0.98
2020-07-31,Greenville,SC,284582.0,1.96,227950.0,0.59,215740.0,50.68,1221.0,-0.49
2020-07-31,Greenville,SC,284582.0,1.96,227950.0,0.59,144085.0,-33.21,1221.0,-0.49
2020-07-31,Ventura,CA,834800.0,3.3,629333.0,1.61,629341.0,0.51,2465.0,0.57
2020-07-31,Allentown,PA,308189.0,2.88,224082.0,2.27,222417.0,0.66,1425.0,0.56
2020-07-31,El Paso,TX,208548.0,1.73,175207.0,2.73,141468.0,0.61,1125.0,1.08
