Date,City,State,HVI,%Change_HVI
2020-07-31,New York,NY,489984.0,0.25
2020-07-31,Los Angeles-Long Beach-Anaheim,CA,692496.0,0.25
2020-07-31,Chicago,IL,245927.0,0.42
2020-07-31,Dallas-Fort Worth,TX,264380.0,0.4
2020-07-31,Philadelphia,PA,259242.0,0.63
2020-07-31,Houston,TX,226080.0,0.2
2020-07-31,Washington,DC,450269.0,0.59
2020-07-31,Miami-Fort Lauderdale,FL,310604.0,0.21
2020-07-31,Atlanta,GA,252356.0,0.55
2020-07-31,Boston,MA,508669.0,0.36
2020-07-31,San Francisco,CA,1127192.0,0.11
2020-07-31,Detroit,MI,185379.0,-0.18
2020-07-31,Riverside,CA,395459.0,0.58
2020-07-31,Phoenix,AZ,301341.0,0.67
2020-07-31,Seattle,WA,547062.0,0.31
2020-07-31,Minneapolis-St Paul,MN,303606.0,0.27
2020-07-31,San Diego,CA,624389.0,0.58
2020-07-31,St. Louis,MO,188810.0,0.64
2020-07-31,Tampa,FL,235878.0,0.57
2020-07-31,Baltimore,MD,303886.0,0.58
2020-07-31,Denver,CO,456526.0,0.31
2020-07-31,Pittsburgh,PA,166939.0,0.54
2020-07-31,Portland,OR,433428.0,27.62
2020-07-31,Charlotte,NC,253567.0,0.79
2020-07-31,Sacramento,CA,440927.0,0.32
2020-07-31,San Antonio,TX,239341.0,0.46
2020-07-31,Orlando,FL,265873.0,0.24
2020-07-31,Cincinnati,OH,197373.0,0.72
2020-07-31,Cleveland,OH,165950.0,-8.49
2020-07-31,Kansas City,MO,215973.0,0.63
2020-07-31,Las Vegas,NV,298014.0,90.76
2020-07-31,Columbus,OH,225231.0,22.84
2020-07-31,Indianapolis,IN,195751.0,0.87
2020-07-31,San Jose,CA,1226214.0,-0.38
2020-07-31,Austin,TX,348781.0,158.57
2020-07-31,Virginia Beach,VA,255672.0,0.41
2020-07-31,Nashville,TN,299393.0,0.52
2020-07-31,Providence,RI,331605.0,0.5
2020-07-31,Milwaukee,WI,213238.0,0.63
2020-07-31,Jacksonville,FL,240999.0,144.48
2020-07-31,Memphis,TN,167741.0,0.72
2020-07-31,Oklahoma City,OK,166057.0,0.41
2020-07-31,Louisville-Jefferson County,KY,189083.0,0.53
2020-07-31,Hartford,CT,244820.0,0.79
2020-07-31,Richmond,VA,260311.0,148.42
2020-07-31,New Orleans,LA,214007.0,0.25
2020-07-31,Buffalo,NY,180874.0,0.46
2020-07-31,Raleigh,NC,292270.0,0.31
2020-07-31,Birmingham,AL,185931.0,0.25
2020-07-31,Salt Lake City,UT,405253.0,0.92
2020-07-31,Rochester,NY,167240.0,-31.73
2020-07-31,Grand Rapids,MI,229028.0,0.21
2020-07-31,Tucson,AZ,232336.0,0.53
2020-07-31,Urban Honolulu,HI,721843.0,0.12
2020-07-31,Tulsa,OK,157846.0,0.72
2020-07-31,Fresno,CA,279956.0,0.95
2020-07-31,Worcester,MA,311073.0,0.39
2020-07-31,Stamford,CT,423065.0,0.78
2020-07-31,Albuquerque,NM,226287.0,0.84
2020-07-31,Albany,NY,211818.0,-27.88
2020-07-31,Omaha,NE,211481.0,0.38
