Date,City,State,Avg_List_Price,%Change_LP
2020-07-31,New York,NY,612596.0,1.71
2020-07-31,Los Angeles-Long Beach-Anaheim,CA,927667.0,3.61
2020-07-31,Chicago,IL,343800.0,2.07
2020-07-31,Dallas-Fort Worth,TX,354800.0,1.92
2020-07-31,Philadelphia,PA,323333.0,3.85
2020-07-31,Houston,TX,322456.0,1.86
2020-07-31,Washington,DC,544300.0,2.38
2020-07-31,Miami-Fort Lauderdale,FL,397862.0,0.08
2020-07-31,Atlanta,GA,344568.0,2.33
2020-07-31,Boston,MA,639933.0,2.67
2020-07-31,San Francisco,CA,984364.0,3.5
2020-07-31,Detroit,MI,277917.0,6.38
2020-07-31,Riverside,CA,446333.0,2.68
2020-07-31,Phoenix,AZ,388574.0,2.64
2020-07-31,Seattle,WA,668667.0,1.31
2020-07-31,Minneapolis-St Paul,MN,394691.0,0.43
2020-07-31,San Diego,CA,814967.0,4.26
2020-07-31,St. Louis,MO,259763.0,1.95
2020-07-31,Tampa,FL,286231.0,2.19
2020-07-31,Baltimore,MD,363008.0,1.93
2020-07-31,Denver,CO,546633.0,0.92
2020-07-31,Pittsburgh,PA,227597.0,5.91
2020-07-31,Portland,OR,492148.0,2.04
2020-07-31,Charlotte,NC,362320.0,2.98
2020-07-31,Sacramento,CA,537667.0,1.84
2020-07-31,San Antonio,TX,297300.0,1.2
2020-07-31,Orlando,FL,324967.0,1.47
2020-07-31,Cincinnati,OH,333163.0,3.63
2020-07-31,Cleveland,OH,218267.0,4.14
2020-07-31,Kansas City,MO,364950.0,1.48
2020-07-31,Las Vegas,NV,335333.0,1.51
2020-07-31,Columbus,OH,344933.0,2.49
2020-07-31,Indianapolis,IN,311165.0,2.87
2020-07-31,San Jose,CA,1238000.0,2.37
2020-07-31,Austin,TX,374269.0,3.09
2020-07-31,Virginia Beach,VA,313399.0,1.82
2020-07-31,Nashville,TN,374933.0,1.8
2020-07-31,Providence,RI,419462.0,2.57
2020-07-31,Milwaukee,WI,263233.0,1.94
2020-07-31,Jacksonville,FL,317967.0,1.8
2020-07-31,Memphis,TN,260406.0,2.63
2020-07-31,Oklahoma City,OK,299081.0,1.97
2020-07-31,Louisville-Jefferson County,KY,299600.0,1.02
2020-07-31,Hartford,CT,338503.0,3.13
2020-07-31,Richmond,VA,379324.0,1.94
2020-07-31,New Orleans,LA,288433.0,2.06
2020-07-31,Buffalo,NY,231778.0,2.89
2020-07-31,Raleigh,NC,378235.0,2.47
2020-07-31,Birmingham,AL,282387.0,1.49
2020-07-31,Salt Lake City,UT,493385.0,2.4
2020-07-31,Rochester,NY,268739.0,0.64
2020-07-31,Grand Rapids,MI,321600.0,0.52
2020-07-31,Tucson,AZ,319933.0,3.56
2020-07-31,Urban Honolulu,HI,608000.0,0.27
2020-07-31,Tulsa,OK,268666.0,3.08
2020-07-31,Fresno,CA,380559.0,2.69
2020-07-31,Worcester,MA,378393.0,1.72
2020-07-31,Stamford,CT,791366.0,2.49
2020-07-31,Albuquerque,NM,335013.0,4.64
2020-07-31,Albany,NY,309221.0,3.7
2020-07-31,Omaha,NE,332045.0,1.29
2020-07-31,New Haven,CT,345061.0,4.22
2020-07-31,Bakersfield,CA,281300.0,1.69
2020-07-31,Knoxville,TN,331667.0,4.2
2020-07-31,Greenville,SC,284582.0,1.96
2020-07-31,Ventura,CA,834800.0,3.3
2020-07-31,Allentown,PA,308189.0,2.88
2020-07-31,El Paso,TX,208548.0,1.73
2020-07-31,Baton Rouge,LA,258133.0,1.91
2020-07-31,Dayton,OH,222761.0,0.33
2020-07-31,McAllen,TX,214933.0,3.37
2020-07-31,Columbia,SC,239382.0,1.36
2020-07-31,Greensboro,NC,285997.0,3.67
2020-07-31,Akron,OH,184300.0,3.38
2020-07-31,North Port-Sarasota-Bradenton,FL,374833.0,1.77
2020-07-31,Little Rock,AR,207458.0,0.6
2020-07-31,Stockton,CA,439398.0,2.57
2020-07-31,Charleston,SC,391125.0,2.2
2020-07-31,Syracuse,NY,188308.0,1.84
