Date,City,State,SizeRank,Avg_Rent,%Change_Rent
2014-02-28,New York,NY,1,2335.0,1.26
2014-02-28,Los Angeles-Long Beach-Anaheim,CA,2,1846.0,1.71
2014-02-28,Chicago,IL,3,1477.0,0.89
2014-02-28,Dallas-Fort Worth,TX,4,1130.0,2.26
2014-02-28,Philadelphia,PA,5,1316.0,-2.52
2014-02-28,Houston,TX,6,1189.0,2.5
2014-02-28,Washington,DC,7,1819.0,2.31
2014-02-28,Miami-Fort Lauderdale,FL,8,1582.0,0.25
2014-02-28,Atlanta,GA,9,1067.0,1.04
2014-02-28,Boston,MA,10,2114.0,0.81
2014-02-28,San Francisco,CA,11,2117.0,-3.51
2014-02-28,Detroit,MI,12,958.0,0.52
2014-02-28,Riverside,CA,13,1433.0,0.63
2014-02-28,Phoenix,AZ,14,969.0,1.47
2014-02-28,Seattle,WA,15,1384.0,1.99
2014-02-28,Minneapolis-St Paul,MN,16,1191.0,1.45
2014-02-28,San Diego,CA,17,1738.0,-1.08
2014-02-28,St. Louis,MO,18,890.0,-2.31
2014-02-28,Tampa,FL,19,1104.0,0.82
2014-02-28,Baltimore,MD,20,1395.0,1.9
2014-02-28,Denver,CO,21,1162.0,-3.49
2014-02-28,Pittsburgh,PA,22,1001.0,5.59
2014-02-28,Portland,OR,23,1152.0,2.13
2014-02-28,Charlotte,NC,24,1055.0,0.38
2014-02-28,Sacramento,CA,25,1274.0,2.08
2014-02-28,San Antonio,TX,26,998.0,1.32
2014-02-28,Orlando,FL,27,1143.0,1.06
2014-02-28,Cleveland,OH,29,969.0,-0.1
2014-02-28,Kansas City,MO,30,869.0,-1.47
2014-02-28,Las Vegas,NV,31,1020.0,0.29
2014-02-28,Columbus,OH,32,955.0,3.24
2014-02-28,Indianapolis,IN,33,952.0,-0.42
2014-02-28,Austin,TX,35,1188.0,0.59
2014-02-28,Virginia Beach,VA,36,1170.0,1.47
2014-02-28,Nashville,TN,37,1142.0,5.55
2014-02-28,Providence,RI,38,1176.0,7.59
2014-02-28,Jacksonville,FL,40,1045.0,-0.76
2014-02-28,Memphis,TN,41,952.0,-1.04
2014-02-28,Oklahoma City,OK,42,986.0,1.54
2014-02-28,Louisville-Jefferson County,KY,43,873.0,1.51
2014-02-28,Hartford,CT,44,1205.0,-1.55
2014-02-28,New Orleans,LA,46,1124.0,-2.52
2014-02-28,Buffalo,NY,47,771.0,-8.43
2014-02-28,Raleigh,NC,48,1128.0,-0.44
2014-02-28,Birmingham,AL,49,949.0,0.74
2014-02-28,Salt Lake City,UT,50,988.0,4.77
2014-02-28,Grand Rapids,MI,52,807.0,3.86
2014-02-28,Tucson,AZ,53,938.0,1.52
2014-02-28,Urban Honolulu,HI,54,1993.0,1.89
2014-02-28,Tulsa,OK,55,934.0,1.85
2014-02-28,Fresno,CA,56,1195.0,2.66
2014-02-28,Worcester,MA,57,1103.0,-1.87
2014-02-28,Stamford,CT,58,1832.0,1.22
2014-02-28,Albuquerque,NM,59,950.0,-0.11
2014-02-28,Albany,NY,60,1036.0,2.37
2014-02-28,Omaha,NE,61,818.0,-4.33
2014-02-28,New Haven,CT,62,1341.0,1.44
2014-02-28,Bakersfield,CA,63,1027.0,-4.02
2014-02-28,Knoxville,TN,64,970.0,2.21
2014-02-28,Greenville,SC,65,1059.0,7.19
2014-02-28,Ventura,CA,66,1922.0,0.1
2014-02-28,Allentown,PA,67,1190.0,2.23
2014-02-28,El Paso,TX,68,1014.0,1.0
2014-02-28,Baton Rouge,LA,69,1121.0,1.17
2014-02-28,Dayton,OH,70,841.0,-0.59
2014-02-28,Greensboro,NC,73,902.0,3.56
2014-02-28,Akron,OH,74,793.0,-3.65
2014-02-28,North Port-Sarasota-Bradenton,FL,75,1275.0,3.83
2014-02-28,Little Rock,AR,76,880.0,2.44
2014-02-28,Stockton,CA,77,1297.0,1.65
2014-02-28,Charleston,SC,78,1135.0,3.18
2014-02-28,Syracuse,NY,79,907.0,-1.2
2014-02-28,Colorado Springs,CO,80,1047.0,0.87
2014-02-28,Winston-Salem,NC,81,1016.0,-0.68
2014-02-28,Springfield,MA,83,1117.0,0.36
2014-02-28,Fort Myers,FL,84,1010.0,-0.88
2014-02-28,Boise City,ID,85,888.0,1.49
2014-02-28,Toledo,OH,86,885.0,-1.67
2014-02-28,Madison,WI,87,1032.0,-2.64
2014-02-28,Lakeland,FL,88,1018.0,4.41
2014-02-28,Ogden,UT,89,975.0,5.86
2014-02-28,Daytona Beach,FL,90,973.0,0.0
2014-02-28,Des Moines,IA,91,935.0,-3.51
2014-02-28,Jackson,MS,92,1036.0,-8.56
2014-02-28,Youngstown,OH,93,696.0,3.42
2014-02-28,Augusta,GA,94,939.0,3.87
2014-02-28,Scranton,PA,95,850.0,2.91
2014-02-28,Harrisburg,PA,96,1014.0,1.2
2014-02-28,Melbourne,FL,97,978.0,2.52
2014-02-28,Chattanooga,TN,98,901.0,1.12
2014-02-28,Spokane,WA,99,1028.0,9.25
2014-02-28,Provo,UT,100,1033.0,2.68
2014-02-28,Durham,NC,104,1059.0,-3.2
2014-02-28,Port St. Lucie,FL,119,1049.0,-6.26
2014-02-28,Killeen,TX,128,871.0,-0.57
2014-02-28,Fort Collins,CO,159,1270.0,2.67
2014-02-28,Boulder,CO,162,1489.0,2.27
2014-02-28,College Station,TX,192,1026.0,4.27
2014-02-28,Gainesville,GA,229,922.0,4.42
2014-02-28,Sierra Vista,AZ,309,822.0,5.25
2014-03-31,New York,NY,1,2342.0,0.3
2014-03-31,Los Angeles-Long Beach-Anaheim,CA,2,1833.0,-0.7
2014-03-31,Chicago,IL,3,1478.0,0.07
2014-03-31,Dallas-Fort Worth,TX,4,1136.0,0.53
2014-03-31,Philadelphia,PA,5,1337.0,1.6
2014-03-31,Houston,TX,6,1177.0,-1.01
2014-03-31,Washington,DC,7,1807.0,-0.66
2014-03-31,Miami-Fort Lauderdale,FL,8,1584.0,0.13
2014-03-31,Atlanta,GA,9,1067.0,0.0
2014-03-31,Boston,MA,10,2116.0,0.09
2014-03-31,San Francisco,CA,11,2182.0,3.07
2014-03-31,Detroit,MI,12,963.0,0.52
2014-03-31,Riverside,CA,13,1432.0,-0.07
2014-03-31,Phoenix,AZ,14,964.0,-0.52
2014-03-31,Seattle,WA,15,1375.0,-0.65
2014-03-31,Minneapolis-St Paul,MN,16,1189.0,-0.17
2014-03-31,San Diego,CA,17,1751.0,0.75
2014-03-31,St. Louis,MO,18,902.0,1.35
2014-03-31,Tampa,FL,19,1106.0,0.18
2014-03-31,Baltimore,MD,20,1395.0,0.0
2014-03-31,Denver,CO,21,1189.0,2.32
2014-03-31,Pittsburgh,PA,22,989.0,-1.2
2014-03-31,Portland,OR,23,1155.0,0.26
2014-03-31,Charlotte,NC,24,1055.0,0.0
2014-03-31,Sacramento,CA,25,1266.0,-0.63
2014-03-31,San Antonio,TX,26,995.0,-0.3
2014-03-31,Orlando,FL,27,1143.0,0.0
2014-03-31,Cleveland,OH,29,966.0,-0.31
2014-03-31,Kansas City,MO,30,880.0,1.27
2014-03-31,Las Vegas,NV,31,1020.0,0.0
2014-03-31,Columbus,OH,32,933.0,-2.3
2014-03-31,Indianapolis,IN,33,956.0,0.42
2014-03-31,Austin,TX,35,1185.0,-0.25
2014-03-31,Virginia Beach,VA,36,1167.0,-0.26
2014-03-31,Nashville,TN,37,1111.0,-2.71
2014-03-31,Providence,RI,38,1168.0,-0.68
2014-03-31,Jacksonville,FL,40,1053.0,0.77
2014-03-31,Memphis,TN,41,964.0,1.26
2014-03-31,Oklahoma City,OK,42,987.0,0.1
2014-03-31,Louisville-Jefferson County,KY,43,871.0,-0.23
2014-03-31,Hartford,CT,44,1197.0,-0.66
2014-03-31,New Orleans,LA,46,1135.0,0.98
2014-03-31,Buffalo,NY,47,811.0,5.19
2014-03-31,Raleigh,NC,48,1123.0,-0.44
2014-03-31,Birmingham,AL,49,948.0,-0.11
2014-03-31,Salt Lake City,UT,50,975.0,-1.32
2014-03-31,Grand Rapids,MI,52,801.0,-0.74
2014-03-31,Tucson,AZ,53,936.0,-0.21
2014-03-31,Urban Honolulu,HI,54,1987.0,-0.3
2014-03-31,Tulsa,OK,55,927.0,-0.75
2014-03-31,Fresno,CA,56,1185.0,-0.84
2014-03-31,Worcester,MA,57,1119.0,1.45
2014-03-31,Stamford,CT,58,1867.0,1.91
2014-03-31,Albuquerque,NM,59,955.0,0.53
2014-03-31,Albany,NY,60,1010.0,-2.51
2014-03-31,Omaha,NE,61,846.0,3.42
2014-03-31,New Haven,CT,62,1341.0,0.0
2014-03-31,Bakersfield,CA,63,1046.0,1.85
2014-03-31,Knoxville,TN,64,966.0,-0.41
2014-03-31,Greenville,SC,65,1042.0,-1.61
2014-03-31,Ventura,CA,66,1891.0,-1.61
2014-03-31,Allentown,PA,67,1176.0,-1.18
2014-03-31,El Paso,TX,68,1011.0,-0.3
2014-03-31,Baton Rouge,LA,69,1133.0,1.07
2014-03-31,Dayton,OH,70,841.0,0.0
2014-03-31,Greensboro,NC,73,889.0,-1.44
2014-03-31,Akron,OH,74,791.0,-0.25
2014-03-31,North Port-Sarasota-Bradenton,FL,75,1264.0,-0.86
2014-03-31,Little Rock,AR,76,857.0,-2.61
2014-03-31,Stockton,CA,77,1286.0,-0.85
2014-03-31,Charleston,SC,78,1127.0,-0.7
2014-03-31,Syracuse,NY,79,922.0,1.65
2014-03-31,Colorado Springs,CO,80,1055.0,0.76
2014-03-31,Winston-Salem,NC,81,1018.0,0.2
2014-03-31,Springfield,MA,83,1098.0,-1.7
2014-03-31,Fort Myers,FL,84,1014.0,0.4
2014-03-31,Boise City,ID,85,894.0,0.68
2014-03-31,Toledo,OH,86,924.0,4.41
2014-03-31,Madison,WI,87,1034.0,0.19
2014-03-31,Lakeland,FL,88,995.0,-2.26
2014-03-31,Ogden,UT,89,957.0,-1.85
2014-03-31,Daytona Beach,FL,90,981.0,0.82
2014-03-31,Des Moines,IA,91,958.0,2.46
2014-03-31,Jackson,MS,92,1086.0,4.83
2014-03-31,Youngstown,OH,93,672.0,-3.45
2014-03-31,Augusta,GA,94,924.0,-1.6
2014-03-31,Scranton,PA,95,848.0,-0.24
2014-03-31,Harrisburg,PA,96,994.0,-1.97
2014-03-31,Melbourne,FL,97,963.0,-1.53
2014-03-31,Chattanooga,TN,98,934.0,3.66
2014-03-31,Spokane,WA,99,994.0,-3.31
2014-03-31,Provo,UT,100,1028.0,-0.48
2014-03-31,Durham,NC,104,1086.0,2.55
2014-03-31,Port St. Lucie,FL,119,1099.0,4.77
2014-03-31,Killeen,TX,128,881.0,1.15
2014-03-31,Fort Collins,CO,159,1260.0,-0.79
2014-03-31,Boulder,CO,162,1456.0,-2.22
2014-03-31,College Station,TX,192,1005.0,-2.05
2014-03-31,Gainesville,GA,229,936.0,1.52
2014-03-31,Sierra Vista,AZ,309,804.0,-2.19
2014-04-30,New York,NY,1,2348.0,0.26
2014-04-30,Los Angeles-Long Beach-Anaheim,CA,2,1842.0,0.49
2014-04-30,Chicago,IL,3,1483.0,0.34
2014-04-30,Dallas-Fort Worth,TX,4,1152.0,1.41
2014-04-30,Philadelphia,PA,5,1340.0,0.22
2014-04-30,Houston,TX,6,1186.0,0.76
2014-04-30,Washington,DC,7,1806.0,-0.06
2014-04-30,Miami-Fort Lauderdale,FL,8,1585.0,0.06
2014-04-30,Atlanta,GA,9,1075.0,0.75
2014-04-30,Boston,MA,10,2110.0,-0.28
2014-04-30,San Francisco,CA,11,2213.0,1.42
2014-04-30,Detroit,MI,12,966.0,0.31
2014-04-30,Riverside,CA,13,1431.0,-0.07
2014-04-30,Phoenix,AZ,14,966.0,0.21
2014-04-30,Seattle,WA,15,1393.0,1.31
2014-04-30,Minneapolis-St Paul,MN,16,1193.0,0.34
2014-04-30,San Diego,CA,17,1759.0,0.46
2014-04-30,St. Louis,MO,18,911.0,1.0
2014-04-30,Tampa,FL,19,1106.0,0.0
2014-04-30,Baltimore,MD,20,1407.0,0.86
2014-04-30,Denver,CO,21,1213.0,2.02
2014-04-30,Pittsburgh,PA,22,1014.0,2.53
2014-04-30,Portland,OR,23,1158.0,0.26
2014-04-30,Charlotte,NC,24,1062.0,0.66
2014-04-30,Sacramento,CA,25,1267.0,0.08
2014-04-30,San Antonio,TX,26,1004.0,0.9
2014-04-30,Orlando,FL,27,1148.0,0.44
2014-04-30,Cleveland,OH,29,974.0,0.83
2014-04-30,Kansas City,MO,30,894.0,1.59
2014-04-30,Las Vegas,NV,31,1022.0,0.2
2014-04-30,Columbus,OH,32,929.0,-0.43
2014-04-30,Indianapolis,IN,33,961.0,0.52
2014-04-30,Austin,TX,35,1198.0,1.1
2014-04-30,Virginia Beach,VA,36,1169.0,0.17
2014-04-30,Nashville,TN,37,1132.0,1.89
2014-04-30,Providence,RI,38,1158.0,-0.86
2014-04-30,Jacksonville,FL,40,1068.0,1.42
2014-04-30,Memphis,TN,41,966.0,0.21
2014-04-30,Oklahoma City,OK,42,998.0,1.11
2014-04-30,Louisville-Jefferson County,KY,43,871.0,0.0
2014-04-30,Hartford,CT,44,1203.0,0.5
2014-04-30,New Orleans,LA,46,1122.0,-1.15
2014-04-30,Buffalo,NY,47,828.0,2.1
2014-04-30,Raleigh,NC,48,1136.0,1.16
2014-04-30,Birmingham,AL,49,946.0,-0.21
2014-04-30,Salt Lake City,UT,50,987.0,1.23
2014-04-30,Grand Rapids,MI,52,819.0,2.25
2014-04-30,Tucson,AZ,53,936.0,0.0
2014-04-30,Urban Honolulu,HI,54,1978.0,-0.45
2014-04-30,Tulsa,OK,55,920.0,-0.76
2014-04-30,Fresno,CA,56,1189.0,0.34
