Date,City,State,SizeRank,Avg_Sale_Price,%Change_SP
2014-02-28,New York,NY,1,365000.0,0.46
2014-02-28,Los Angeles-Long Beach-Anaheim,CA,2,481333.0,0.49
2014-02-28,Chicago,IL,3,183667.0,-2.48
2014-02-28,Dallas-Fort Worth,TX,4,174967.0,0.38
2014-02-28,Philadelphia,PA,5,210833.0,-2.69
2014-02-28,Houston,TX,6,180000.0,-0.44
2014-02-28,Washington,DC,7,362967.0,-1.0
2014-02-28,Miami-Fort Lauderdale,FL,8,201667.0,-2.42
2014-02-28,Atlanta,GA,9,183500.0,0.0
2014-02-28,Boston,MA,10,348035.0,-1.88
2014-02-28,San Francisco,CA,11,538000.0,-1.04
2014-02-28,Detroit,MI,12,138433.0,-1.42
2014-02-28,Riverside,CA,13,267667.0,1.01
2014-02-28,Phoenix,AZ,14,200667.0,-0.17
2014-02-28,Seattle,WA,15,313271.0,-0.41
2014-02-28,Minneapolis-St Paul,MN,16,201023.0,-1.31
2014-02-28,San Diego,CA,17,425667.0,-0.74
2014-02-28,St. Louis,MO,18,149000.0,-2.19
2014-02-28,Tampa,FL,19,151000.0,-2.16
2014-02-28,Baltimore,MD,20,263333.0,-3.54
2014-02-28,Denver,CO,21,266179.0,0.32
2014-02-28,Pittsburgh,PA,22,129550.0,-2.08
2014-02-28,Portland,OR,23,257054.0,0.65
2014-02-28,Charlotte,NC,24,181833.0,-2.24
2014-02-28,Sacramento,CA,25,284333.0,1.07
2014-02-28,San Antonio,TX,26,169671.0,-0.41
2014-02-28,Orlando,FL,27,179767.0,-0.59
2014-02-28,Cincinnati,OH,28,137800.0,-3.22
2014-02-28,Cleveland,OH,29,112800.0,-4.65
2014-02-28,Kansas City,MO,30,154000.0,-3.6
2014-02-28,Las Vegas,NV,31,192500.0,0.87
2014-02-28,Columbus,OH,32,148167.0,-3.05
2014-02-28,Indianapolis,IN,33,132450.0,-0.26
2014-02-28,San Jose,CA,34,655417.0,0.68
2014-02-28,Austin,TX,35,222467.0,1.51
2014-02-28,Virginia Beach,VA,36,210473.0,-1.8
2014-02-28,Nashville,TN,37,181533.0,-0.97
2014-02-28,Providence,RI,38,209500.0,-1.8
2014-02-28,Milwaukee,WI,39,160833.0,-1.83
2014-02-28,Jacksonville,FL,40,189076.0,0.93
2014-02-28,Memphis,TN,41,140145.0,-4.64
2014-02-28,Oklahoma City,OK,42,144000.0,0.23
2014-02-28,Louisville-Jefferson County,KY,43,137646.0,-2.45
2014-02-28,Hartford,CT,44,207483.0,1.14
2014-02-28,Richmond,VA,45,201667.0,-1.63
