City,State,Date,Avg_List_Price
New York,NY,RegionID,394913.0
Los Angeles-Long Beach-Anaheim,CA,RegionID,753899.0
Chicago,IL,RegionID,394463.0
Dallas-Fort Worth,TX,RegionID,394514.0
Philadelphia,PA,RegionID,394974.0
Houston,TX,RegionID,394692.0
Washington,DC,RegionID,395209.0
Miami-Fort Lauderdale,FL,RegionID,394856.0
Atlanta,GA,RegionID,394347.0
Boston,MA,RegionID,394404.0
San Francisco,CA,RegionID,395057.0
Detroit,MI,RegionID,394532.0
Riverside,CA,RegionID,395025.0
Phoenix,AZ,RegionID,394976.0
Seattle,WA,RegionID,395078.0
Minneapolis-St Paul,MN,RegionID,394865.0
San Diego,CA,RegionID,395056.0
St. Louis,MO,RegionID,395121.0
Tampa,FL,RegionID,395148.0
Baltimore,MD,RegionID,394358.0
Denver,CO,RegionID,394530.0
Pittsburgh,PA,RegionID,394982.0
Portland,OR,RegionID,394998.0
Charlotte,NC,RegionID,394458.0
Sacramento,CA,RegionID,395045.0
San Antonio,TX,RegionID,395055.0
Orlando,FL,RegionID,394943.0
Cincinnati,OH,RegionID,394466.0
Cleveland,OH,RegionID,394475.0
Kansas City,MO,RegionID,394735.0
Las Vegas,NV,RegionID,394775.0
Columbus,OH,RegionID,394492.0
Indianapolis,IN,RegionID,394705.0
San Jose,CA,RegionID,395059.0
Austin,TX,RegionID,394355.0
Virginia Beach,VA,RegionID,395194.0
Nashville,TN,RegionID,394902.0
Providence,RI,RegionID,395005.0
Milwaukee,WI,RegionID,394862.0
Jacksonville,FL,RegionID,394714.0
Memphis,TN,RegionID,394849.0
Oklahoma City,OK,RegionID,394935.0
Louisville-Jefferson County,KY,RegionID,394807.0
Hartford,CT,RegionID,394669.0
Richmond,VA,RegionID,395022.0
New Orleans,LA,RegionID,394910.0
Buffalo,NY,RegionID,394425.0
Raleigh,NC,RegionID,395012.0
Birmingham,AL,RegionID,394388.0
Salt Lake City,UT,RegionID,395053.0
Rochester,NY,RegionID,395031.0
Grand Rapids,MI,RegionID,394640.0
Tucson,AZ,RegionID,395167.0
Urban Honolulu,HI,RegionID,753924.0
Tulsa,OK,RegionID,395169.0
Fresno,CA,RegionID,394619.0
Worcester,MA,RegionID,395238.0
Stamford,CT,RegionID,394415.0
Albuquerque,NM,RegionID,394312.0
Albany,NY,RegionID,394308.0
Omaha,NE,RegionID,394938.0
New Haven,CT,RegionID,394908.0
Bakersfield,CA,RegionID,394357.0
Knoxville,TN,RegionID,394753.0
Greenville,SC,RegionID,394653.0
Ventura,CA,RegionID,394952.0
Allentown,PA,RegionID,394318.0
El Paso,TX,RegionID,394561.0
Baton Rouge,LA,RegionID,394367.0
Dayton,OH,RegionID,394521.0
McAllen,TX,RegionID,394843.0
Columbia,SC,RegionID,394486.0
Greensboro,NC,RegionID,394648.0
Akron,OH,RegionID,394304.0
North Port-Sarasota-Bradenton,FL,RegionID,753906.0
Little Rock,AR,RegionID,394798.0
Stockton,CA,RegionID,395134.0
Charleston,SC,RegionID,394457.0
Syracuse,NY,RegionID,395143.0
Colorado Springs,CO,RegionID,394484.0
Winston-Salem,NC,RegionID,395235.0
Wichita,KS,RegionID,395224.0
Springfield,MA,RegionID,395115.0
Fort Myers,FL,RegionID,394440.0
Boise City,ID,RegionID,394399.0
Toledo,OH,RegionID,395160.0
Madison,WI,RegionID,394816.0
Lakeland,FL,RegionID,394766.0
Ogden,UT,RegionID,394931.0
Daytona Beach,FL,RegionID,394528.0
Des Moines,IA,RegionID,394531.0
Provo,UT,RegionID,395006.0
Durham,NC,RegionID,394549.0
Fort Collins,CO,RegionID,394602.0
New York,NY,2020-06-30,602296.0
Los Angeles-Long Beach-Anaheim,CA,2020-06-30,895333.0
Chicago,IL,2020-06-30,336833.0
Dallas-Fort Worth,TX,2020-06-30,348133.0
Philadelphia,PA,2020-06-30,311333.0
