City,Date,Avg_Rent
New York,RegionID,394913
Los Angeles-Long Beach-Anaheim,RegionID,753899
Chicago,RegionID,394463
Dallas-Fort Worth,RegionID,394514
Philadelphia,RegionID,394974
Houston,RegionID,394692
Washington,RegionID,395209
Miami-Fort Lauderdale,RegionID,394856
Atlanta,RegionID,394347
Boston,RegionID,394404
San Francisco,RegionID,395057
Detroit,RegionID,394532
Riverside,RegionID,395025
Phoenix,RegionID,394976
Seattle,RegionID,395078
Minneapolis-St Paul,RegionID,394865
San Diego,RegionID,395056
St. Louis,RegionID,395121
Tampa,RegionID,395148
Baltimore,RegionID,394358
Denver,RegionID,394530
Pittsburgh,RegionID,394982
Portland,RegionID,394998
Charlotte,RegionID,394458
Sacramento,RegionID,395045
San Antonio,RegionID,395055
Orlando,RegionID,394943
Cincinnati,RegionID,394466
Cleveland,RegionID,394475
Kansas City,RegionID,394735
Las Vegas,RegionID,394775
Columbus,RegionID,394492
Indianapolis,RegionID,394705
San Jose,RegionID,395059
Austin,RegionID,394355
Virginia Beach,RegionID,395194
Nashville,RegionID,394902
Providence,RegionID,395005
Milwaukee,RegionID,394862
Jacksonville,RegionID,394714
Memphis,RegionID,394849
Oklahoma City,RegionID,394935
Louisville-Jefferson County,RegionID,394807
Hartford,RegionID,394669
Richmond,RegionID,395022
New Orleans,RegionID,394910
Buffalo,RegionID,394425
Raleigh,RegionID,395012
Birmingham,RegionID,394388
Salt Lake City,RegionID,395053
Rochester,RegionID,395031
Grand Rapids,RegionID,394640
Tucson,RegionID,395167
Urban Honolulu,RegionID,753924
Tulsa,RegionID,395169
Fresno,RegionID,394619
Worcester,RegionID,395238
Stamford,RegionID,394415
Albuquerque,RegionID,394312
Albany,RegionID,394308
Omaha,RegionID,394938
New Haven,RegionID,394908
Bakersfield,RegionID,394357
Knoxville,RegionID,394753
Greenville,RegionID,394653
Ventura,RegionID,394952
Allentown,RegionID,394318
El Paso,RegionID,394561
Baton Rouge,RegionID,394367
Dayton,RegionID,394521
McAllen,RegionID,394843
Columbia,RegionID,394486
Greensboro,RegionID,394648
Akron,RegionID,394304
North Port-Sarasota-Bradenton,RegionID,753906
Little Rock,RegionID,394798
Stockton,RegionID,395134
Charleston,RegionID,394457
Syracuse,RegionID,395143
Colorado Springs,RegionID,394484
Winston-Salem,RegionID,395235
Wichita,RegionID,395224
Springfield,RegionID,395115
Fort Myers,RegionID,394440
Boise City,RegionID,394399
Toledo,RegionID,395160
